"","�Age","Gender","HasKids","EduLvl","WorkStatus","AnnualIncome","Occupation","YrsJobHeld","MosJobHeld","CommunitySz","CntryOfRes","MaritalStat","NumSons","NumDaughters","DP1","DP2","DP3","DP4","DP5","DPMean","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","AIPMean","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","GPMean","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SWLSMean","OthersLabel","DPMean.1"
"398",23,"Female","0","deg","full-time",25000,"","0",7,"Large Town","Ireland","Single","0",0,4,5,5,2,2,3.6,1,1,5,4,2,4,5,4,1,3,4,2,3,2,4,3,4,3,1,5,4,3,4,4,5,1,2,4,2,4,4,3,2,4,5,4,3.4,4,4,3,3,3,3.4,"yes",3.6
"399",32.5,"Male","0","phd","full-time",15000,"Postdoc","2",5,"Medium-Sized","France","Single","0",0,5,4,5,5,5,4.8,2,5,5,4,5,4,5,5,4,5,4,5,5,5,4,4.47,5,3,5,4,3,4,5,5,5,5,2,5,4,5,5,5,5,5,5,3,4.4,1,1,1,3,1,1.4,"yes",4.8
"400",45,"Female","0","ma","full-time",25000,"college professor","10",0,"Large-City","France","Divorced","0",0,3,3,3,2,2,2.6,1,2,3,3,5,5,3,4,4,4,3,3,2,2,3,3.13,3,2,2,4,3,3,3,3,4,2,3,4,2,2,4,2,2,4,4,4,3,3,3,3,4,2,3,"yes",2.6
"401",45,"Female","1","deg","unemployed",NA,NA,"0",0,"Medium-Sized","France","Married","2",0,4,4,4,4,4,4,4,3,4,5,5,5,5,4,5,5,3,4,3,5,5,4.33,5,4,3,5,5,3,5,5,5,5,3,4,5,5,4,5,4,3,5,3,4.3,3,5,3,5,4,4,"yes",4
"402",28,"Male","0","ltuni","full-time",15000,"Journalist","3",4,"Small City","France","Single","0",0,4,5,4,4,4,4.2,3,1,5,3,5,4,4,5,5,5,5,3,3,1,5,3.8,5,4,5,5,4,4,5,4,5,3,4,5,4,4,5,5,3,5,5,5,4.45,2,3,2,2,2,2.2,"no",4.2
"403",23,"Female","0","deg","full-time",25000,"Physicist","1",0,"Small Town","France","Single","0",0,3,2,3,1,1,2,1,1,5,2,1,1,1,4,1,2,4,2,4,2,1,2.13,1,1,2,4,1,2,3,4,5,1,1,5,1,1,3,4,2,4,3,3,2.55,5,5,5,5,5,5,"no",2
"404",45,"Male","1","ma","full-time",150000,NA,"6",0,"Small City","France","Married","1",1,2,5,4,2,2,3,4,4,3,4,4,1,5,4,5,2,4,3,2,4,4,3.53,4,3,2,4,4,2,5,4,4,1,4,4,4,4,4,3,2,5,4,4,3.55,2,5,3,3,4,3.4,"yes",3
"405",55,"Female","0","ma","part-time",NA,"Sales","10",0,"Large-City","France","Single","0",0,4,3,3,3,3,3.2,2,2,2,3,4,3,5,4,4,5,4,3,3,3,4,3.4,5,4,3,1,4,3,4,3,5,3,3,5,4,3,5,4,4,4,4,3,3.7,4,4,5,4,5,4.4,"yes",3.2
"406",28,"Female","0","phd","full-time",NA,"","3",0,"Small Town","France","Single","0",0,4,4,4,4,4,4,2,2,2,4,4,5,4,5,5,5,4,4,4,3,2,3.67,5,2,2,5,4,2,5,4,5,4,2,5,4,3,5,2,3,4,5,5,3.8,1,4,2,2,2,2.2,"yes",4
"407",28,"Female","0","deg","full-time",25000,"","0",1,"Village","France","Married","0",0,2,3,2,2,2,2.2,1,1,5,3,3,4,3,3,1,4,5,3,5,5,3,3.27,2,1,2,2,4,2,4,2,4,2,4,3,2,2,2,4,2,2,3,3,2.6,4,4,4,5,3,4,"no",2.2
"408",37.5,"Female","0","deg","unemployed",10000,"","0",6,"Small Town","France","Married","0",0,5,5,5,5,5,5,1,2,2,5,4,4,5,4,2,5,3,2,4,2,4,3.27,5,4,3,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,4.65,1,2,1,1,1,1.2,"no",5
"409",28,"Female","0","phd","full-time",25000,"","2",0,"Small Town","France","Single","0",0,4,5,3,2,1,3,5,5,2,5,5,5,5,4,5,5,4,5,5,4,5,4.6,5,5,3,3,5,4,5,4,5,3,4,5,5,5,5,5,5,5,5,5,4.55,3,2,3,4,1,2.6,"yes",3
"410",32.5,"Female","0","deg","full-time",55000,"","7",0,"Small Town","France","Single","0",0,4,4,4,4,4,4,4,2,3,5,3,5,5,4,3,5,1,3,4,2,4,3.53,4,3,2,5,3,3,2,4,5,4,3,4,4,4,4,2,2,4,4,5,3.55,2,2,1,2,2,1.8,"yes",4
"411",37.5,"Female","0","deg","unemployed",NA,"","0",0,"Large Town","France","Married","0",0,2,3,2,2,2,2.2,1,2,4,3,4,5,5,2,2,4,1,4,2,5,4,3.2,4,2,3,4,1,5,2,3,3,2,4,3,1,1,4,2,2,4,4,4,2.9,2,2,2,3,2,2.2,"yes",2.2
"412",28,"Male","0","deg","full-time",25000,NA,"6",0,"Large-City","Brazil","Single","0",0,2,4,2,2,2,2.4,2,1,3,2,3,4,3,3,4,2,1,1,2,5,3,2.6,3,3,3,4,3,3,3,2,4,1,3,4,2,4,3,1,2,3,2,2,2.75,4,5,4,4,4,4.2,"no",2.4
"413",37.5,"Male","1","phd","full-time",150000,"engineer","8",0,"Medium-Sized","Brazil","Married","1",0,4,3,3,3,2,3,2,2,4,2,3,3,2,4,2,4,4,2,4,1,4,2.87,4,2,4,3,3,4,3,4,3,3,4,4,3,4,4,4,4,4,3,4,3.55,2,3,2,4,4,3,"yes",3
"414",28,"Male","0","phd","student",15000,NA,"0",1,"","Brazil","Married","0",0,5,5,5,5,5,5,2,2,1,4,5,3,5,5,5,5,4,3,5,2,4,3.67,5,5,5,5,5,4,5,5,5,4,2,5,3,4,5,5,5,5,5,5,4.6,1,1,1,2,1,1.2,"yes",5
"415",23,"Male","0","ltuni","student",NA,NA,"0",0,"Large-City","Brazil","Single","0",0,4,5,4,4,4,4.2,1,2,5,3,4,5,3,3,2,5,2,1,4,1,3,2.93,2,2,2,5,3,2,4,4,4,2,4,4,1,3,4,4,5,4,5,4,3.4,3,5,4,3,2,3.4,"yes",4.2
"416",55,"Female","0","deg","full-time",10000,"Musician","23",0,"Large-City","Brazil","Single","0",0,5,4,1,2,2,2.8,1,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1.4,5,1,1,1,1,1,5,1,4,1,3,4,1,1,3,1,4,4,5,5,2.6,1,3,1,3,2,2,"no",2.8
"417",37.5,"Female","1","deg","full-time",55000,NA,"1",0,"Large-City","Brazil","Married","2",1,3,2,3,1,1,2,1,1,5,2,1,1,1,2,1,1,1,1,2,1,1,1.47,3,2,2,4,2,2,1,2,3,2,3,2,1,3,3,4,4,2,2,1,2.4,5,5,4,5,5,4.8,"no",2
"418",45,"Male","1","phd","full-time",45000,"college professor","3",0,"Large-City","Brazil","Married","0",1,5,5,5,4,4,4.6,1,2,2,5,5,5,3,4,3,5,3,1,3,2,4,3.2,4,3,4,5,5,3,5,4,5,2,4,5,2,2,4,4,3,1,5,3,3.65,3,3,3,4,3,3.2,"yes",4.6
"419",20,"Female","0","ltuni","student",10000,NA,"0",0,"Large-City","Brazil","Single","0",0,4,2,5,4,4,3.8,4,4,5,5,4,2,5,5,4,3,5,5,5,5,5,4.4,5,5,4,2,5,3,5,5,5,5,5,5,4,4,5,5,5,5,1,5,4.4,3,5,3,2,4,3.4,"yes",3.8
"420",67.5,"Male","0","ma","retired",10000,"retired","23",0,"Small Town","Brazil","Divorced","0",0,3,3,3,2,2,2.6,1,1,5,4,2,4,2,3,2,2,2,2,1,2,2,2.33,3,1,1,1,1,1,2,3,2,1,4,4,1,3,4,3,2,4,3,4,2.4,4,4,4,4,2,3.6,"no",2.6
"421",45,"Female","0","dip","full-time",15000,"Journalist","7",0,"Large-City","Brazil","Single","0",0,4,5,5,4,4,4.4,2,5,5,5,4,1,4,5,4,5,4,5,5,5,5,4.27,4,2,5,5,4,4,4,5,4,4,5,4,3,5,5,4,4,5,4,4,4.2,2,2,2,3,2,2.2,"yes",4.4
"422",25,"Male","0","deg","full-time",67500,"System Analyst","4",0,"Large-City","Brazil","Single","0",0,4,3,3,3,3,3.2,1,3,4,4,3,4,3,3,3,3,2,3,3,2,3,2.93,4,2,3,1,2,2,3,4,4,3,4,4,2,2,3,4,4,3,3,3,3,4,4,3,4,4,3.8,"yes",3.2
"423",45,"Female","1","deg","full-time",15000,"Translator","10",10,"Large-City","Brazil","Married","1",1,5,5,4,3,3,4,2,3,3,3,3,4,2,4,3,4,5,3,3,2,3,3.13,4,3,3,5,3,3,3,4,5,3,4,5,3,4,4,4,3,4,3,3,3.65,2,3,2,3,4,2.8,"",4
"424",28,"Male","0","high","part-time",10000,"trainee","0",5,"Large-City","Brazil","Married","0",0,2,2,3,3,3,2.6,1,1,1,2,1,2,2,3,2,2,1,1,3,1,2,1.67,3,1,4,3,1,5,1,1,3,2,5,2,1,1,2,2,2,1,3,2,2.25,3,3,4,3,1,2.8,"no",2.6
